Source	Target	Weights
RMDL	RMFR	1
RMDL	RIVL	1
RMDL	SMDDR	1
RMDL	dBWML03	1
RMDL	vBWMR08	1
RMDR	RIS	1
RMDR	RMGL	1
RMDR	AVKR	1
RMDR	SMDDR	1
RMDR	SIAVL	1
RMDVL	IL2VR	1
RMDVL	URYVR	1
RMDVL	RMDVR	1
RMDVL	SIBDR	1
RMDVR	IL1DR	1
RMDVR	IL1L	1
RMDVR	RIAR	1
RMDVR	AVAR	1
RMDVR	SMBDR	1
RMDVR	SIBVR	1
RMDVR	GLRVL	1
RIVR	SMBVL	1
RIVR	dBWMR07	1
RIVR	vBWML04	1
RMHL	URXR	1
RMHL	RICL	1
RMHL	RICR	1
RMHL	SAAVL	1
RMHL	RID	1
RMHL	AVAR	1
RMHR	CEPVL	1
RMHR	dBWML03	1
SABVL	RIGR	1
SMDDL	URYDL	1
SMDDL	RIMR	1
SMDDL	AVEL	1
SMDDL	AVER	1
SMDDL	RIVR	1
SMDDL	SMDDR	1
SMDDL	dBWML07	1
SMDDL	dBWMR04	1
SMDDR	ASJL	1
SMDDR	RIBL	1
SMDDR	AVER	1
SMDDR	RIVL	1
SMDVL	IL2L	1
SMDVL	CEPVR	1
SMDVL	PVR	1
SMDVL	SIADR	1
SMDVR	AIBR	1
SMDVR	RIML	1
SMDVR	AVER	1
SMDVR	AVAR	1
SMDVR	SMDVL	1
SMDVR	VB01	1
SMBDL	AIZL	1
SMBDR	AVAL	1
SMBDR	RIVL	1
SMBDR	SIAVR	1
SMBVL	AIML	1
SMBVL	AVFL	1
SMBVL	AVHR	1
SMBVL	PVPL	1
SMBVL	AVJR	1
SMBVL	AVBR	1
SMBVL	SIAVL	1
SMBVL	vBWML016	1
SMBVR	RIAR	1
SMBVR	SIAVR	1
SMBVR	dBWMR04	1
SMBVR	vBWMR016	1
SIBDL	dBWMR06	1
SIBDL	dBWMR016	1
SIBDR	dBWML06	1
SIBDR	dBWMR04	1
SIBDR	dBWML016	1
SIBVL	ALNR	1
SIBVL	PVPL	1
SIBVL	SMBDR	1
SIBVL	vBWML02	1
SIBVR	AVDR	1
SIBVR	RID	1
SIBVR	dBWMR04	1
SIADL	AVFR	1
SIADR	ALML	1
SIADR	CEPDL	1
SIADR	IL1VR	1
SIADR	AVAL	1
SIAVL	ADEL	1
SIAVL	IL2L	1
SIAVL	vBWML06	1
SIAVL	vBWML016	1
SIAVR	RMDL	1
SIAVR	vBWMR06	1
